,p_id,professor,student,hasPosition,inPhase,yearsInProgram,p_id_dummy,course_id,courseLevel
0,3.0,0,1,0,0,0,,,
1,4.0,0,1,0,0,0,,,
2,5.0,1,0,Faculty,0,0,,19.0,Level_500
3,5.0,1,0,Faculty,0,0,,51.0,Level_400
4,5.0,1,0,Faculty,0,0,,71.0,Level_500
5,6.0,0,1,0,Post_Quals,Year_2,29.0,,
6,6.0,0,1,0,Post_Quals,Year_2,165.0,,
7,7.0,1,0,Faculty_adj,0,0,,,
8,9.0,0,1,0,Post_Generals,Year_5,335.0,124.0,Level_300
9,13.0,0,1,0,Post_Generals,Year_7,240.0,,
10,14.0,0,1,0,Post_Generals,Year_10,150.0,,
11,15.0,0,1,0,Post_Quals,Year_3,,,
12,18.0,0,1,0,Pre_Quals,Year_3,335.0,51.0,Level_400
13,19.0,0,1,0,Pre_Quals,Year_1,,,
14,20.0,0,1,0,Pre_Quals,Year_1,,,
15,21.0,0,1,0,Post_Generals,Year_5,211.0,,
16,22.0,1,0,Faculty_eme,0,0,,21.0,Level_400
17,23.0,0,1,0,0,0,,,
18,27.0,0,1,0,Pre_Quals,Year_1,,,
19,29.0,1,0,Faculty_adj,0,0,,,
20,31.0,0,1,0,0,0,,,
21,35.0,0,1,0,0,0,,,
22,36.0,0,1,0,0,0,,,
23,37.0,0,1,0,Pre_Quals,Year_1,79.0,,
24,38.0,0,1,0,0,0,,,
25,39.0,0,1,0,0,0,,,
26,40.0,1,0,Faculty,0,0,,0.0,Level_500
27,40.0,1,0,Faculty,0,0,,1.0,Level_500
28,41.0,0,1,0,Post_Quals,Year_5,394.0,,
29,42.0,0,1,0,Pre_Quals,Year_1,,,
30,45.0,0,1,0,Post_Generals,Year_5,211.0,,
31,45.0,0,1,0,Post_Generals,Year_5,415.0,,
32,46.0,1,0,Faculty,0,0,,124.0,Level_300
33,46.0,1,0,Faculty,0,0,,172.0,Level_500
34,51.0,0,1,0,Pre_Quals,Year_2,,,
35,52.0,1,0,Faculty,0,0,,11.0,Level_300
36,52.0,1,0,Faculty,0,0,,77.0,Level_500
37,52.0,1,0,Faculty,0,0,,121.0,Level_500
38,52.0,1,0,Faculty,0,0,,147.0,Level_300
39,57.0,1,0,0,0,0,,11.0,Level_300
40,57.0,1,0,0,0,0,,147.0,Level_300
41,58.0,0,1,0,0,0,,,
42,61.0,0,1,0,0,0,,,
43,62.0,0,1,0,Pre_Quals,Year_2,104.0,,
44,63.0,0,1,0,Post_Generals,Year_5,415.0,,
45,64.0,1,0,0,0,0,,49.0,Level_400
46,67.0,0,1,0,Post_Generals,Year_6,98.0,,
47,67.0,0,1,0,Post_Generals,Year_6,375.0,,
48,68.0,0,1,0,Post_Generals,Year_5,201.0,,
49,70.0,0,1,0,Pre_Quals,Year_1,,,
50,71.0,0,1,0,0,0,,,
51,72.0,1,0,Faculty,0,0,,13.0,Level_500
52,72.0,1,0,Faculty,0,0,,79.0,Level_500
53,72.0,1,0,Faculty,0,0,,115.0,Level_500
54,72.0,1,0,Faculty,0,0,,157.0,Level_400
55,73.0,0,1,0,Post_Quals,Year_4,,,
56,75.0,0,1,0,Post_Generals,Year_6,331.0,165.0,Level_300
57,76.0,0,1,0,0,0,,,
58,77.0,0,1,0,0,0,,,
59,79.0,1,0,Faculty,0,0,,12.0,Level_500
60,79.0,1,0,Faculty,0,0,,16.0,Level_500
61,79.0,1,0,Faculty,0,0,,24.0,Level_400
62,79.0,1,0,Faculty,0,0,,64.0,Level_500
63,79.0,1,0,Faculty,0,0,,170.0,Level_500
64,80.0,0,1,0,Post_Generals,Year_6,234.0,,
65,81.0,0,1,0,Post_Generals,Year_6,342.0,,
66,81.0,0,1,0,Post_Generals,Year_6,393.0,,
67,82.0,1,0,Faculty,0,0,,120.0,Level_500
68,82.0,1,0,Faculty,0,0,,151.0,Level_400
69,83.0,0,1,0,Post_Quals,Year_5,349.0,,
70,84.0,0,1,0,0,0,,,
71,85.0,0,1,0,0,0,,,
72,86.0,0,1,0,0,0,,,
73,87.0,0,1,0,0,0,,,
74,88.0,0,1,0,0,0,,,
75,89.0,0,1,0,Post_Generals,Year_5,104.0,,
76,90.0,0,1,0,0,0,,,
77,92.0,0,1,0,Post_Generals,Year_5,101.0,,
78,94.0,0,1,0,Pre_Quals,Year_1,,,
79,96.0,0,1,0,Post_Generals,Year_5,5.0,,
80,98.0,1,0,Faculty,0,0,,80.0,Level_400
81,98.0,1,0,Faculty,0,0,,167.0,Level_500
82,99.0,0,1,0,Post_Quals,Year_2,104.0,21.0,Level_400
83,100.0,0,1,0,Post_Quals,Year_5,104.0,,
84,100.0,0,1,0,Post_Quals,Year_5,235.0,,
85,101.0,1,0,Faculty,0,0,,62.0,Level_400
86,101.0,1,0,Faculty,0,0,,80.0,Level_400
87,102.0,0,1,0,0,0,,,
88,103.0,1,0,Faculty_aff,0,0,,98.0,Level_500
89,104.0,1,0,Faculty,0,0,,38.0,Level_400
90,104.0,1,0,Faculty,0,0,,74.0,Level_500
91,105.0,0,1,0,0,0,,,
92,107.0,1,0,Faculty,0,0,,4.0,Level_500
93,107.0,1,0,Faculty,0,0,,18.0,Level_300
94,107.0,1,0,Faculty,0,0,,48.0,Level_400
95,107.0,1,0,Faculty,0,0,,61.0,Level_500
96,108.0,0,1,0,0,0,,,
97,111.0,1,0,Faculty_adj,0,0,,,
98,113.0,0,1,0,Post_Generals,Year_4,342.0,,
99,113.0,0,1,0,Post_Generals,Year_4,394.0,,
100,115.0,1,0,Faculty,0,0,,,
101,116.0,0,1,0,Pre_Quals,Year_3,124.0,,
102,118.0,0,1,0,Post_Generals,Year_4,5.0,,
103,119.0,0,1,0,0,0,,,
104,122.0,0,1,0,Post_Quals,Year_4,72.0,,
105,123.0,0,1,0,0,0,,,
106,124.0,1,0,Faculty,0,0,,14.0,Level_500
107,124.0,1,0,Faculty,0,0,,38.0,Level_400
108,124.0,1,0,Faculty,0,0,,74.0,Level_500
109,125.0,0,1,0,0,0,,,
110,126.0,0,1,0,Post_Quals,Year_5,213.0,,
111,129.0,0,1,0,Post_Generals,Year_6,179.0,,
112,129.0,0,1,0,Post_Generals,Year_6,234.0,,
113,130.0,0,1,0,Post_Generals,Year_8,124.0,,
114,131.0,0,1,0,0,0,,,
115,138.0,0,1,0,0,0,,,
116,139.0,0,1,0,Post_Quals,Year_3,,,
117,140.0,0,1,0,0,0,,,
118,141.0,0,1,0,Post_Generals,Year_6,331.0,165.0,Level_300
119,142.0,0,1,0,Post_Generals,Year_9,342.0,,
120,144.0,0,1,0,0,0,,,
121,146.0,0,1,0,0,0,,,
122,148.0,0,1,0,Post_Quals,Year_5,171.0,,
123,149.0,0,1,0,Post_Quals,Year_5,,,
124,150.0,1,0,Faculty,0,0,,24.0,Level_400
125,150.0,1,0,Faculty,0,0,,57.0,Level_400
126,150.0,1,0,Faculty,0,0,,123.0,Level_500
127,150.0,1,0,Faculty,0,0,,128.0,Level_400
128,150.0,1,0,Faculty,0,0,,141.0,Level_500
129,154.0,0,1,0,Post_Quals,Year_4,124.0,,
130,154.0,0,1,0,Post_Quals,Year_4,235.0,,
131,155.0,0,1,0,Pre_Quals,Year_2,101.0,,
132,157.0,0,1,0,Post_Quals,Year_4,72.0,,
133,158.0,0,1,0,0,0,,,
134,159.0,0,1,0,Post_Quals,Year_2,57.0,,
135,159.0,0,1,0,Post_Quals,Year_2,201.0,,
136,161.0,0,1,0,Post_Generals,Year_7,,,
137,163.0,0,1,0,Post_Quals,Year_4,393.0,,
138,165.0,1,0,Faculty,0,0,,27.0,Level_400
139,165.0,1,0,Faculty,0,0,,40.0,Level_500
140,165.0,1,0,Faculty,0,0,,66.0,Level_500
141,165.0,1,0,Faculty,0,0,,77.0,Level_500
142,165.0,1,0,Faculty,0,0,,104.0,Level_300
143,165.0,1,0,Faculty,0,0,,126.0,Level_400
144,165.0,1,0,Faculty,0,0,,137.0,Level_400
145,165.0,1,0,Faculty,0,0,,147.0,Level_300
146,166.0,1,0,0,0,0,,51.0,Level_400
147,167.0,0,1,0,0,0,,,
148,168.0,1,0,Faculty,0,0,,52.0,Level_400
149,171.0,1,0,Faculty,0,0,,44.0,Level_400
150,171.0,1,0,Faculty,0,0,,50.0,Level_500
151,171.0,1,0,Faculty,0,0,,173.0,Level_500
152,172.0,0,1,0,Pre_Quals,Year_1,,,
153,175.0,0,1,0,Post_Generals,Year_2,,,
154,176.0,0,1,0,Post_Quals,Year_2,407.0,,
155,178.0,0,1,0,0,0,,,
156,179.0,1,0,Faculty,0,0,,23.0,Level_500
157,179.0,1,0,Faculty,0,0,,34.0,Level_500
158,179.0,1,0,Faculty,0,0,,151.0,Level_400
159,180.0,1,0,Faculty,0,0,,2.0,Level_500
160,180.0,1,0,Faculty,0,0,,20.0,Level_400
161,180.0,1,0,Faculty,0,0,,80.0,Level_400
162,181.0,1,0,0,0,0,,36.0,Level_500
163,181.0,1,0,0,0,0,,104.0,Level_300
164,181.0,1,0,0,0,0,,117.0,Level_500
165,181.0,1,0,0,0,0,,165.0,Level_300
166,182.0,0,1,0,Post_Quals,Year_3,,,
167,183.0,0,1,0,Pre_Quals,Year_4,5.0,,
168,185.0,1,0,Faculty_adj,0,0,,,
169,186.0,0,1,0,Pre_Quals,Year_1,,,
170,187.0,0,1,0,Pre_Quals,Year_1,,,
171,188.0,0,1,0,0,0,,,
172,189.0,1,0,Faculty_adj,0,0,,49.0,Level_400
173,189.0,1,0,Faculty_adj,0,0,,53.0,Level_400
174,190.0,0,1,0,0,0,,,
175,191.0,0,1,0,Post_Quals,Year_4,,,
176,193.0,0,1,0,Pre_Quals,Year_1,,,
177,195.0,0,1,0,0,0,,,
178,198.0,0,1,0,0,0,,,
179,200.0,0,1,0,Post_Quals,Year_4,72.0,,
180,201.0,1,0,Faculty,0,0,,68.0,Level_400
181,201.0,1,0,Faculty,0,0,,103.0,Level_500
182,201.0,1,0,Faculty,0,0,,147.0,Level_300
183,201.0,1,0,Faculty,0,0,,161.0,Level_400
184,203.0,0,1,0,0,0,,,
185,204.0,0,1,0,Post_Generals,Year_6,104.0,38.0,Level_400
186,205.0,0,1,0,Pre_Quals,Year_1,,,
187,206.0,0,1,0,Post_Generals,Year_6,72.0,,
188,206.0,0,1,0,Post_Generals,Year_6,342.0,,
189,207.0,0,1,0,0,0,,,
190,208.0,0,1,0,Post_Quals,Year_4,319.0,,
191,211.0,1,0,Faculty,0,0,,12.0,Level_500
192,211.0,1,0,Faculty,0,0,,24.0,Level_400
193,211.0,1,0,Faculty,0,0,,143.0,Level_400
194,211.0,1,0,Faculty,0,0,,170.0,Level_500
195,212.0,0,1,0,Post_Generals,Year_7,180.0,,
196,213.0,1,0,Faculty,0,0,,18.0,Level_300
197,213.0,1,0,Faculty,0,0,,48.0,Level_400
198,213.0,1,0,Faculty,0,0,,129.0,Level_500
199,213.0,1,0,Faculty,0,0,,162.0,Level_500
200,214.0,0,1,0,0,0,,,
201,217.0,0,1,0,Post_Generals,Year_5,72.0,,
202,217.0,0,1,0,Post_Generals,Year_5,342.0,,
203,218.0,0,1,0,Post_Generals,Year_12,101.0,,
204,222.0,0,1,0,Pre_Quals,Year_1,,,
205,223.0,0,1,0,0,0,,,
206,226.0,0,1,0,Post_Quals,Year_4,324.0,,
207,228.0,0,1,0,Post_Quals,Year_3,342.0,,
208,228.0,0,1,0,Post_Quals,Year_3,393.0,,
209,228.0,0,1,0,Post_Quals,Year_3,394.0,,
210,230.0,0,1,0,0,0,,,
211,231.0,1,0,0,0,0,,165.0,Level_300
212,232.0,0,1,0,0,0,,,
213,233.0,0,1,0,Pre_Quals,Year_1,,,
214,234.0,1,0,Faculty,0,0,,151.0,Level_400
215,235.0,1,0,Faculty,0,0,,9.0,Level_500
216,235.0,1,0,Faculty,0,0,,88.0,Level_500
217,235.0,1,0,Faculty,0,0,,120.0,Level_500
218,235.0,1,0,Faculty,0,0,,139.0,Level_500
219,235.0,1,0,Faculty,0,0,,151.0,Level_400
220,235.0,1,0,Faculty,0,0,,166.0,Level_500
221,237.0,0,1,0,0,0,,,
222,239.0,0,1,0,Post_Quals,Year_4,171.0,,
223,240.0,1,0,Faculty,0,0,,16.0,Level_500
224,240.0,1,0,Faculty,0,0,,24.0,Level_400
225,240.0,1,0,Faculty,0,0,,134.0,Level_500
226,240.0,1,0,Faculty,0,0,,156.0,Level_500
227,240.0,1,0,Faculty,0,0,,158.0,Level_500
228,240.0,1,0,Faculty,0,0,,168.0,Level_500
229,241.0,0,1,0,Post_Quals,Year_3,,,
230,242.0,0,1,0,Post_Generals,Year_5,29.0,,
231,242.0,0,1,0,Post_Generals,Year_5,165.0,,
232,248.0,1,0,0,0,0,,49.0,Level_400
233,248.0,1,0,0,0,0,,53.0,Level_400
234,249.0,0,1,0,Post_Generals,Year_7,331.0,,
235,253.0,0,1,0,Post_Generals,Year_5,101.0,,
236,255.0,0,1,0,Post_Generals,Year_5,,38.0,Level_400
237,257.0,0,1,0,Post_Generals,Year_7,240.0,,
238,258.0,0,1,0,0,0,,,
239,259.0,0,1,0,0,0,,,
240,261.0,0,1,0,0,0,,,
241,262.0,0,1,0,Post_Generals,Year_7,292.0,,
242,262.0,0,1,0,Post_Generals,Year_7,415.0,,
243,263.0,0,1,0,Post_Generals,Year_6,5.0,49.0,Level_400
244,265.0,0,1,0,Post_Generals,Year_9,168.0,,
245,266.0,0,1,0,Post_Quals,Year_5,7.0,,
246,267.0,1,0,0,0,0,,75.0,Level_400
247,267.0,1,0,0,0,0,,151.0,Level_400
248,267.0,1,0,0,0,0,,174.0,Level_400
249,269.0,0,1,0,0,0,,,
250,270.0,0,1,0,Pre_Quals,Year_1,,,
251,271.0,0,1,0,0,0,,,
252,272.0,0,1,0,Post_Quals,Year_2,7.0,,
253,274.0,0,1,0,0,0,,,
254,275.0,0,1,0,Post_Generals,Year_5,79.0,,
255,276.0,0,1,0,Pre_Quals,Year_3,407.0,,
256,277.0,0,1,0,Pre_Quals,Year_1,,,
257,278.0,0,1,0,Pre_Quals,Year_2,,144.0,Level_500
258,279.0,1,0,Faculty,0,0,,3.0,Level_500
259,279.0,1,0,Faculty,0,0,,101.0,Level_500
260,279.0,1,0,Faculty,0,0,,108.0,Level_500
261,280.0,0,1,0,Pre_Quals,Year_3,101.0,,
262,283.0,0,1,0,Pre_Quals,Year_1,,,
263,284.0,0,1,0,Post_Quals,Year_3,,,
264,286.0,0,1,0,Post_Quals,Year_3,171.0,,
265,287.0,0,1,0,0,0,,,
266,288.0,0,1,0,Post_Generals,Year_5,165.0,,
267,290.0,1,0,Faculty,0,0,,18.0,Level_300
268,290.0,1,0,Faculty,0,0,,30.0,Level_400
269,290.0,1,0,Faculty,0,0,,151.0,Level_400
270,292.0,1,0,Faculty_aff,0,0,,15.0,Level_500
271,293.0,1,0,Faculty_aff,0,0,,44.0,Level_400
272,294.0,0,1,0,0,0,,,
273,296.0,0,1,0,0,0,,,
274,297.0,1,0,Faculty_eme,0,0,,8.0,Level_400
275,298.0,1,0,Faculty,0,0,,11.0,Level_300
276,298.0,1,0,Faculty,0,0,,29.0,Level_500
277,298.0,1,0,Faculty,0,0,,40.0,Level_500
278,298.0,1,0,Faculty,0,0,,66.0,Level_500
279,298.0,1,0,Faculty,0,0,,161.0,Level_400
280,299.0,0,1,0,Pre_Quals,Year_3,,,
281,300.0,0,1,0,Post_Generals,Year_8,342.0,,
282,303.0,0,1,0,Post_Quals,Year_4,29.0,,
283,303.0,0,1,0,Post_Quals,Year_4,165.0,,
284,306.0,0,1,0,0,0,,,
285,309.0,0,1,0,Post_Quals,Year_3,378.0,,
286,310.0,0,1,0,0,0,,,
287,311.0,0,1,0,Post_Quals,Year_3,,,
288,312.0,0,1,0,Pre_Quals,Year_4,319.0,,
289,314.0,0,1,0,Post_Generals,Year_4,415.0,,
290,315.0,0,1,0,0,0,,,
291,317.0,0,1,0,0,0,,,
292,318.0,0,1,0,Pre_Quals,Year_5,185.0,,
293,318.0,0,1,0,Pre_Quals,Year_5,319.0,,
294,319.0,1,0,Faculty,0,0,,32.0,Level_500
295,319.0,1,0,Faculty,0,0,,76.0,Level_500
296,319.0,1,0,Faculty,0,0,,132.0,Level_500
297,320.0,0,1,0,Post_Quals,Year_3,150.0,,
298,321.0,0,1,0,0,0,,,
299,322.0,0,1,0,0,0,,,
300,324.0,1,0,Faculty,0,0,,11.0,Level_300
301,324.0,1,0,Faculty,0,0,,68.0,Level_400
302,324.0,1,0,Faculty,0,0,,77.0,Level_500
303,324.0,1,0,Faculty,0,0,,84.0,Level_500
304,324.0,1,0,Faculty,0,0,,97.0,Level_400
305,324.0,1,0,Faculty,0,0,,119.0,Level_500
306,324.0,1,0,Faculty,0,0,,147.0,Level_300
307,325.0,0,1,0,0,0,,,
308,326.0,1,0,0,0,0,,18.0,Level_300
309,327.0,0,1,0,0,0,,,
310,328.0,0,1,0,0,0,,,
311,331.0,1,0,Faculty,0,0,,11.0,Level_300
312,331.0,1,0,Faculty,0,0,,27.0,Level_400
313,331.0,1,0,Faculty,0,0,,68.0,Level_400
314,331.0,1,0,Faculty,0,0,,91.0,Level_500
315,331.0,1,0,Faculty,0,0,,144.0,Level_500
316,331.0,1,0,Faculty,0,0,,147.0,Level_300
317,331.0,1,0,Faculty,0,0,,149.0,Level_500
318,331.0,1,0,Faculty,0,0,,160.0,Level_500
319,331.0,1,0,Faculty,0,0,,161.0,Level_400
320,333.0,0,1,0,Pre_Quals,Year_2,,,
321,335.0,1,0,Faculty,0,0,,46.0,Level_500
322,335.0,1,0,Faculty,0,0,,63.0,Level_500
323,335.0,1,0,Faculty,0,0,,124.0,Level_300
324,335.0,1,0,Faculty,0,0,,138.0,Level_500
325,335.0,1,0,Faculty,0,0,,146.0,Level_300
326,335.0,1,0,Faculty,0,0,,172.0,Level_500
327,340.0,0,1,0,0,0,,,
328,342.0,1,0,Faculty,0,0,,13.0,Level_500
329,342.0,1,0,Faculty,0,0,,115.0,Level_500
330,342.0,1,0,Faculty,0,0,,153.0,Level_500
331,342.0,1,0,Faculty,0,0,,157.0,Level_400
332,343.0,0,1,0,Pre_Quals,Year_1,,,
333,347.0,0,1,0,0,0,,,
334,348.0,0,1,0,Post_Quals,Year_3,324.0,,
335,349.0,1,0,Faculty_adj,0,0,,,
336,350.0,0,1,0,0,0,,,
337,351.0,1,0,Faculty,0,0,,41.0,Level_400
338,351.0,1,0,Faculty,0,0,,93.0,Level_400
339,351.0,1,0,Faculty,0,0,,110.0,Level_400
340,351.0,1,0,Faculty,0,0,,118.0,Level_400
341,351.0,1,0,Faculty,0,0,,125.0,Level_400
342,351.0,1,0,Faculty,0,0,,148.0,Level_400
343,351.0,1,0,Faculty,0,0,,150.0,Level_500
344,351.0,1,0,Faculty,0,0,,164.0,Level_400
345,352.0,0,1,0,Post_Generals,Year_5,292.0,,
346,352.0,0,1,0,Post_Generals,Year_5,415.0,,
347,353.0,0,1,0,Post_Quals,Year_4,319.0,,
348,354.0,0,1,0,0,0,,,
349,356.0,0,1,0,0,0,,,
350,357.0,0,1,0,Post_Quals,Year_4,124.0,,
351,358.0,0,1,0,0,0,,,
352,361.0,0,1,0,Post_Generals,Year_6,,,
353,362.0,0,1,0,Post_Quals,Year_3,5.0,,
354,362.0,0,1,0,Post_Quals,Year_3,335.0,,
355,363.0,0,1,0,Pre_Quals,Year_3,,,
356,364.0,1,0,0,0,0,,104.0,Level_300
357,364.0,1,0,0,0,0,,147.0,Level_300
358,364.0,1,0,0,0,0,,165.0,Level_300
359,368.0,0,1,0,Post_Generals,Year_4,180.0,,
360,370.0,1,0,0,0,0,,19.0,Level_500
361,373.0,1,0,Faculty,0,0,,18.0,Level_300
362,373.0,1,0,Faculty,0,0,,129.0,Level_500
363,374.0,0,1,0,Post_Generals,Year_12,179.0,,
364,375.0,1,0,Faculty_eme,0,0,,18.0,Level_300
365,375.0,1,0,Faculty_eme,0,0,,48.0,Level_400
366,375.0,1,0,Faculty_eme,0,0,,116.0,Level_500
367,376.0,0,1,0,Post_Quals,Year_4,107.0,,
368,376.0,0,1,0,Post_Quals,Year_4,179.0,,
369,377.0,0,1,0,Pre_Quals,Year_1,,,
370,378.0,1,0,Faculty,0,0,,40.0,Level_500
371,378.0,1,0,Faculty,0,0,,122.0,Level_400
372,380.0,0,1,0,Post_Generals,Year_6,79.0,,
373,381.0,0,1,0,Post_Generals,Year_10,168.0,,
374,382.0,0,1,0,Post_Quals,Year_3,,,
375,383.0,0,1,0,Pre_Quals,Year_2,,,
376,384.0,0,1,0,Post_Quals,Year_3,240.0,,
377,384.0,0,1,0,Post_Quals,Year_3,407.0,,
378,390.0,0,1,0,Pre_Quals,Year_2,,,
379,391.0,0,1,0,Post_Quals,Year_4,235.0,,
380,392.0,0,1,0,0,0,,,
381,393.0,1,0,Faculty,0,0,,,
382,394.0,1,0,Faculty,0,0,,28.0,Level_400
383,394.0,1,0,Faculty,0,0,,67.0,Level_500
384,394.0,1,0,Faculty,0,0,,89.0,Level_400
385,394.0,1,0,Faculty,0,0,,101.0,Level_500
386,394.0,1,0,Faculty,0,0,,136.0,Level_500
387,394.0,1,0,Faculty,0,0,,153.0,Level_500
388,394.0,1,0,Faculty,0,0,,157.0,Level_400
389,394.0,1,0,Faculty,0,0,,159.0,Level_400
390,397.0,0,1,0,0,0,,,
391,398.0,0,1,0,Pre_Quals,Year_1,,,
392,400.0,0,1,0,0,0,,,
393,401.0,0,1,0,0,0,,,
394,402.0,0,1,0,Pre_Quals,Year_2,,,
395,403.0,0,1,0,Post_Generals,Year_12,234.0,,
396,404.0,0,1,0,Post_Generals,Year_4,72.0,,
397,406.0,0,1,0,Post_Generals,Year_5,,,
398,407.0,1,0,Faculty,0,0,,12.0,Level_500
399,407.0,1,0,Faculty,0,0,,24.0,Level_400
400,407.0,1,0,Faculty,0,0,,82.0,Level_400
401,407.0,1,0,Faculty,0,0,,143.0,Level_400
402,407.0,1,0,Faculty,0,0,,170.0,Level_500
403,408.0,0,1,0,Pre_Quals,Year_2,,,
404,410.0,0,1,0,0,0,,,
405,411.0,0,1,0,Post_Generals,Year_6,373.0,,
406,412.0,0,1,0,Post_Quals,Year_3,,,
407,415.0,1,0,Faculty,0,0,,7.0,Level_500
408,415.0,1,0,Faculty,0,0,,39.0,Level_500
409,415.0,1,0,Faculty,0,0,,44.0,Level_400
410,416.0,0,1,0,Pre_Quals,Year_1,,,
411,417.0,0,1,0,Pre_Quals,Year_1,,,
412,418.0,0,1,0,Post_Quals,Year_3,171.0,,
413,419.0,0,1,0,Post_Generals,Year_7,101.0,,
414,420.0,0,1,0,0,0,,,
415,422.0,0,1,0,Post_Quals,Year_3,,,
416,424.0,0,1,0,0,0,,,
417,426.0,0,1,0,Post_Quals,Year_5,179.0,,
418,426.0,0,1,0,Post_Quals,Year_5,235.0,,
419,427.0,0,1,0,Post_Quals,Year_4,,,
420,428.0,0,1,0,0,0,,,
421,429.0,0,1,0,Post_Quals,Year_5,335.0,,
422,431.0,0,1,0,Pre_Quals,Year_2,,,
423,432.0,0,1,0,Post_Quals,Year_5,240.0,,
424,435.0,0,1,0,Post_Quals,Year_4,279.0,,
425,,,,,,,,5.0,Level_300
426,,,,,,,,45.0,Level_400
427,,,,,,,,107.0,Level_400
428,,,,,,,,154.0,Level_400
429,,,,,,,,35.0,Level_500
430,,,,,,,,54.0,Level_500
431,,,,,,,,56.0,Level_500
432,,,,,,,,65.0,Level_500
433,,,,,,,,83.0,Level_500
434,,,,,,,,85.0,Level_500
435,,,,,,,,86.0,Level_500
436,,,,,,,,87.0,Level_500
437,,,,,,,,109.0,Level_500
438,,,,,,,,114.0,Level_500
439,,,,,,,,131.0,Level_500
440,,,,,,,,135.0,Level_500
441,,,,,,,,152.0,Level_500
442,,,,,,,,155.0,Level_500
443,,,,,,,,169.0,Level_500
